FullName,WARD,AssessedVa,tax_break,city_current_tax_estimated,AssessedLa,city_taxable_land,city_lvt_pure,tax_hike_from_lvt_pure,city_lvt_with_exemptions,tax_hike_from_lvt_with_exemptions
"1419-25 JAMES ST",04,650000,0.0,6021.93,71400,71400,1904.49,-4117.44,3313.38,-2708.55
"438 BROOKFORD RD & WOODSIDE",17,475000,0.0,4400.64,37400,37400,997.59,-3403.05,1735.58,-2665.06
"418 BROOKFORD RD",17,420000,0.0,3891.09,29300,29300,781.53,-3109.56,1359.69,-2531.4
"1204 JAMES ST & SEDGWICK ST &",06,310000,0.0,2871.99,24400,24400,650.83,-2221.16,1132.3,-1739.69
"1400 JAMES ST & VINE ST & DORO",06,280000,0.0,2594.06,18500,18500,493.46,-2100.6,858.51,-1735.55
"505 SEDGWICK DR",04,325000,0.0,3010.96,27500,27500,733.52,-2277.44,1276.16,-1734.8
"119 WOODSIDE DR",17,375000,0.0,3474.19,40300,40300,1074.94,-2399.25,1870.16,-1604.03
"117 WOODSIDE DR",17,383600,0.0,3553.86,43600,43600,1162.97,-2390.89,2023.29,-1530.57
"107 SATURN DR",14,282000,0.00709219858156029,2594.06,25000,24822.7,666.84,-1927.22,1151.92,-1442.14
"1416 JAMES ST",06,225000,0.0,2084.51,14000,14000,373.43,-1711.08,649.68,-1434.83
"1105 COMSTOCK AVE R 38 NURSERY",19,225000,0.0,2084.51,14100,14100,376.1,-1708.41,654.32,-1430.19
"1107 COMSTOCK AVE R 40 NURSERY",19,225000,0.0,2084.51,14100,14100,376.1,-1708.41,654.32,-1430.19
"303 BERKELEY DR",16,308000,0.0,2853.47,31000,31000,826.88,-2026.59,1438.58,-1414.89
"1145 COMSTOCK AVE R 17 NURSERY",19,180000,0.0,1667.61,5800,5800,154.71,-1512.9,269.15,-1398.46
"9 BRATTLE RD",04,340000,0.0,3149.93,37800,37800,1008.26,-2141.67,1754.14,-1395.79
"1157 COMSTOCK AVE R 9 NURSERY",19,180000,0.0,1667.61,6200,6200,165.38,-1502.23,287.72,-1379.89
"1600 JAMES ST & WILSON ST",05,253000,0.0,2343.92,21100,21100,562.81,-1781.11,979.16,-1364.76
"1155 COMSTOCK AVE R 7 NURSERY",19,170000,0.0,1574.96,5800,5800,154.71,-1420.25,269.15,-1305.81
"352 BUNKER HILL WAY",11,205000,0.0,1899.22,13000,13000,346.76,-1552.46,603.28,-1295.94
"201 BRATTLE RD & SEDGWICK DR",04,365000,0.0,3381.54,45000,45000,1200.31,-2181.23,2088.26,-1293.28
"211 SUMMIT AVE",12,215500,0.0,1996.5,15700,15700,418.77,-1577.73,728.57,-1267.93
"320 BERKELEY DR",16,240000,0.0,2223.48,20600,20600,549.47,-1674.01,955.96,-1267.52
"309 BRADFORD PKWY",17,265000,0.0,2455.09,25700,25700,685.51,-1769.58,1192.63,-1262.46
"104 HAMPSHIRE RD",04,288700,0.0,2674.66,30800,30800,821.54,-1853.12,1429.3,-1245.36
"200 ACADEMY GREEN",13,220000,0.0,2038.19,17200,17200,458.78,-1579.41,798.18,-1240.01
"1103 COMSTOCK AVE R 36 NURSERY",19,210000,0.0,1945.55,15300,15300,408.1,-1537.45,710.01,-1235.54
"1149 COMSTOCK AVE R 21 NURSERY",19,185800,0.0,1721.34,10600,10600,282.74,-1438.6,491.9,-1229.44
"123 WINDSOR PL & BERKELEY DR",16,240000,0.0,2223.48,21500,21500,573.48,-1650.0,997.73,-1225.75
"320 SEDGWICK DR & HAMPSHIRE R",04,304100,0.0,2817.33,34400,34400,917.57,-1899.76,1596.36,-1220.97
"104 SEDGWICK DR",04,275000,0.0,2547.74,28600,28600,762.86,-1784.88,1327.21,-1220.53
"215 SCOTTHOLM BLVD",17,228700,0.0,2118.79,19500,19500,520.13,-1598.66,904.91,-1213.88
"1143 COMSTOCK AVE R 15 NURSERY",19,183000,0.0,1695.4,10600,10600,282.74,-1412.66,491.9,-1203.5
"866 OSTROM AVE TO OSTROM ALLE",16,190000,0.0,1760.26,12100,12100,322.75,-1437.51,561.51,-1198.75
"868 OSTROM AVE & STRATFORD AV",16,232000,0.0,2149.36,20500,20500,546.81,-1602.55,951.32,-1198.04
"1153 COMSTOCK AVE R 5 NURSERY",19,175000,0.0,1621.29,9300,9300,248.06,-1373.23,431.57,-1189.72
"106 HAMPSHIRE RD",04,278000,0.0,2575.53,29900,29900,797.54,-1777.99,1387.53,-1188.0
"1500 JAMES ST",06,220000,0.0,2038.19,18500,18500,493.46,-1544.73,858.51,-1179.68
"1646 JAMES ST",05,250000,0.0,2316.12,24600,24600,656.17,-1659.95,1141.58,-1174.54
"140 CIRCLE RD & ACORN PATH",16,276000,0.0,2557,29800,29800,794.87,-1762.13,1382.89,-1174.11
"2714 GENESEE ST E",17,216500,0.0,2005.76,18000,18000,480.12,-1525.64,835.31,-1170.45
"204 SEDGWICK DR",04,325900,0.0,3019.3,39900,39900,1064.27,-1955.03,1851.59,-1167.71
"1111 COMSTOCK AVE R 34 NURSERY",19,180000,0.0,1667.61,10850,10850,289.41,-1378.2,503.5,-1164.11
"232-36 DEWITT ST",04,320000,0.0,2964.64,39000,39000,1040.27,-1924.37,1809.83,-1154.81
"1147 COMSTOCK AVE R 19 NURSERY",19,152000,0.0,1408.2,5800,5800,154.71,-1253.49,269.15,-1139.05
"2547 BELLEVUE AVE & CITY LINE",11,155000,0.0,1436,6400,6400,170.71,-1265.29,297,-1139.0
"404 BRADFORD PKWY",17,252000,0.0,2334.65,25900,25900,690.84,-1643.81,1201.91,-1132.74
"519 SEDGWICK DR",04,300000,0.0,2779.35,35500,35500,946.91,-1832.44,1647.41,-1131.94
"315 HIGHLAND AVE",04,299000,0.0,2770.09,35400,35400,944.24,-1825.85,1642.77,-1127.32
"652 ONONDAGA ST W",10,146600,0.0,1358.18,5000,5000,133.37,-1224.81,232.03,-1126.15
"202 SCOTTHOLM BLVD",17,185600,0.0,1719.49,12800,12800,341.42,-1378.07,593.99,-1125.5
"307 SUMMIT AVE",12,200000,0.0,1852.9,15700,15700,418.77,-1434.13,728.57,-1124.33
"301 SUMMIT AVE",12,200000,0.0,1852.9,15700,15700,418.77,-1434.13,728.57,-1124.33
"1139 COMSTOCK AVE R 2 DAYBREAK",19,171000,0.0,1584.23,10300,10300,274.74,-1309.49,477.98,-1106.25
"313 HURLBURT RD",17,230000,0.0,2130.84,22100,22100,589.48,-1541.36,1025.57,-1105.27
"1125 COMSTOCK AVE R 1 DAYBREAK",19,170000,0.0,1574.96,10300,10300,274.74,-1300.22,477.98,-1096.98
"1127 COMSTOCK AVE R 3 DAYBREAK",19,170000,0.0,1574.96,10300,10300,274.74,-1300.22,477.98,-1096.98
"222 BRATTLE RD",04,270000,0.0,2501.41,30300,30300,808.21,-1693.2,1406.1,-1095.31
"1141 COMSTOCK AVE R 4 DAYBREAK",19,169000,0.0,1565.7,10300,10300,274.74,-1290.96,477.98,-1087.72
"1151 COMSTOCK AVE R 12 NURSERY",19,180500,0.0,1672.24,12600,12600,336.09,-1336.15,584.71,-1087.53
"865 LIVINGSTON AVE",16,185000,0.0,1713.93,13500,13500,360.09,-1353.84,626.48,-1087.45
"210 SCOTTHOLM BLVD",17,210000,0.0,1945.55,18500,18500,493.46,-1452.09,858.51,-1087.04
"1141 GLENWOOD AVE",11,197500,0.0495189873417722,1739.13,14850,14114.64,396.1,-1343.03,655,-1084.13
"312 SUMMIT AVE",12,220000,0.0,2038.19,20600,20600,549.47,-1488.72,955.96,-1082.23
"225 ROBINEAU RD",12,270000,0.0,2501.41,30600,30600,816.21,-1685.2,1420.02,-1081.39
"318 SEDGWICK DR",04,289000,0.0,2677.44,34400,34400,917.57,-1759.87,1596.36,-1081.08
"410 BRADFORD PKWY",17,245000,0.0,2269.8,25800,25800,688.18,-1581.62,1197.27,-1072.53
"303 SEDGWICK DR",04,255000,0.0,2362.45,27800,27800,741.52,-1620.93,1290.08,-1072.37
"102 GIFFORD PKWY",17,160000,0.111125,1317.6,6000,5333.25,160.04,-1157.56,247.49,-1070.11
"354 BUNKER HILL WAY",11,205000,0.0,1899.22,18000,18000,480.12,-1419.1,835.31,-1063.91
"304 SUMMIT AVE",12,215000,0.0,1991.87,20000,20000,533.47,-1458.4,928.12,-1063.75
"617 SCOVILLE AVE",04,220000,0.0,2038.19,21000,21000,560.14,-1478.05,974.52,-1063.67
"402 BRADFORD PKWY",17,240000,0.0,2223.48,25000,25000,666.84,-1556.64,1160.15,-1063.33
"2201 GENESEE ST E & ALLEN ST",17,150000,0.0,1389.67,7100,7100,189.38,-1200.29,329.48,-1060.19
"1137 GLENWOOD AVE",11,195000,0.00769230769230766,1792.68,15950,15827.31,425.44,-1367.24,734.48,-1058.2
"318 BERKELEY DR & ACORN PATH",16,222000,0.0,2056.72,21700,21700,578.82,-1477.9,1007.01,-1049.71
"118 WENDELL TERR",04,285000,0.0,2640.38,34400,34400,917.57,-1722.81,1596.36,-1044.02
"503 SEDGWICK DR",04,285000,0.0,2640.38,34500,34500,920.24,-1720.14,1601,-1039.38
"308 BROOKFORD RD",17,250000,0.0,2316.12,27600,27600,736.19,-1579.93,1280.8,-1035.32
"302 SUMMIT AVE",12,210000,0.0,1945.55,19800,19800,528.14,-1417.41,918.84,-1026.71
"105 KENSINGTON RD & ACKERMAN",16,173000,0.0,1602.76,12600,12600,336.09,-1266.67,584.71,-1018.05
"445 BRATTLE RD",04,202300,0.0,1874.21,18500,18500,493.46,-1380.75,858.51,-1015.7
"1109 COMSTOCK AVE R 42 NURSERY",19,180000,0.0,1667.61,14100,14100,376.1,-1291.51,654.32,-1013.29
"240 BRATTLE RD",04,283100,0.0,2622.78,34700,34700,925.57,-1697.21,1610.28,-1012.5
"210 BRATTLE RD",04,285000,0.0,2640.38,35100,35100,936.24,-1704.14,1628.85,-1011.53
"857 LIVINGSTON AVE",16,176000,0.0,1630.55,13500,13500,360.09,-1270.46,626.48,-1004.07
"1420 JAMES ST",06,189000,0.0,1750.99,16100,16100,429.44,-1321.55,747.13,-1003.86
"1117 COMSTOCK AVE R 30 NURSERY",19,208000,0.0,1927.02,20000,20000,533.47,-1393.55,928.12,-998.9
"222 STANDISH DR",17,215000,0.0,1991.87,21400,21400,570.81,-1421.06,993.09,-998.78
"315 FARMER ST",04,250000,0.0,2316.12,28500,28500,760.2,-1555.92,1322.57,-993.55
"115 SEDGWICK RD",04,233600,0.0,2164.19,25400,25400,677.51,-1486.68,1178.71,-985.48
